Symbol,Name,Status
BREUF,Bridgemarq Real Estate Svc Inc Common Shares,inactive
SEAV,SEATECH VENTURES CORP Common Stock,inactive
SMUPF,Sims Metal Management Ltd Ordinary Shares (Australia),inactive
USBK,USA Bank (NY) Common Stock,inactive
HAPVY,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA American Depositary Receipts - Unsponsored  (Brazil),inactive
HDNRF,HOMECO DAILY NEEDS REIT ORDINARY UNITS FULLY PAID (Australia),inactive
BRRN,Born Inc. Common Stock,inactive
ONPPF,ONCOPEPTIDES AB Ordinary Shares,inactive
WACLF,Wacoal Holdings Ordinary Shares,inactive
MIMNF,Mimis Rock Corp Common Stock (Canada),inactive
BKESF,Banco Espirito Santo E Ord Ordinary Shares,inactive
CDBDF,CLOUDBREAK DISCOVERY PLC Ordinary Shares,inactive
WHGPF,Warehouse Group Ltd Ordinary Shares (New Zealand),inactive
TSSZF,Tessi Ordinary Shares (France),inactive
GARB,Garb Oil & Power Corporation Common Stock,inactive
NBVG,Nutripure Beverages Inc New  Common Stock,inactive
MSCZF,MESCO INC TOKYO Ordinary Shares,inactive
TWCF,Town and Country Financial Corporation (IL) Common Stock,inactive
CMPUY,CompuGroup Medical SE & co. KGaA American Depositary Receipts - Unsponsored,inactive
GNGR,"Gunther Grant, Inc. Common Stock",inactive
SVNDF,Seven & I Holdings Co Ltd Ordinary Shares (Japan),inactive
BLRNF,BLADERANGER LTD Ordinary Shares,inactive
VTEXF,DEVELOP GLOBAL LTD Ordinary Shares,inactive
RCKHF,"Rockhopper Exploration Plc, Salisbury Ordinary shares (United Kingdom)",inactive
EEHLF,Emperor Entertainment Hotel Limited Ordinary Shares,inactive
AMNTF,ASIA CEMENT CHINA HOLDINGS CORPORATION SHS (Cayman Islands),inactive
CHFHY,China Foods Ltd Unsponsored ADR (China),inactive
AFHIF,ATLAS FINL HLDGS INC Ordinary Shares,inactive
GPOPF,PROMOTORA DE INFORMACIONES SA Ordinary Shares,inactive
GPFT,GRAPEFRUIT USA INC Common Stock,inactive
SHOLF,Stadio Holdings Ltd Ordinary Shares (South Africa),inactive
NOKFF,Nok Airlines Public Co Ltd. Units Non Vtg Depository Receipt,inactive
THXPF,THOR EXPLORATION LTD  Common Shares,inactive
DELHF,De Longhi Spa Ordinary Shares (Italy),inactive
SAEYY,Redcare Pharmacy N.V. American Depositary Receipts - Unsponsored,inactive
RSCLS,RSE ARCHIVE LLC MEMBERSHIP INT SER - CLEMENTE2 1959 ROBERTO CLEMENTE BAT Shares of Beneficial Interest,inactive
KWLGF,KWG LIVING GROUP HLDGS LTD HKD Ordinary Shares - (Cayman Islands),inactive
GHGH,GuanHua Corporation Common Stock,inactive
IXOG,"Index Oil & Gas, Inc. Common Stock",inactive
ARHFS,RSE ARCHIVE LLC MEMBERSHIP INT SER - 1910 HONUS WAGNER CARD,inactive
NCDZF,NCONDEZI ENERGY LTD SHS (Virgin Islands British),inactive
NWCI,"Newcardio, Inc. Common Stock",inactive
PTSWF,PT SAWIT SUMBERMAS SARANA TBK Ordinary Shares,inactive
ITKSF,Independent Tankers Corporation Limited Ordinary shares (Bermuda),inactive
OVTZ,OCULUS INC. Common Stock,inactive
KNAMF,KONAMI GROUP CORP Ordinary Shares,inactive
NXGPF,Next Group Plc Ordinary Shares (UK),inactive
MAPGF,Mapletree Logistics Trust Units Real Estate Investment Trust (Singapore),inactive
JMDMF,JAPAN MEDICAL DYNAMIC MARKETING INC TOKYO Ordinary Shares,inactive
VSMR,Verify Smart Corp. Common Stock,inactive
GJNSF,Gjensidige Forsikring Asa Ordinary Shares (Norway),inactive
